Vehicle Type,Pickup Location,Drop Location,Ride Distance
Bike,Gurgaon Sector 56,Cyber Hub,20.92
Bike,Ghitorni Village,Faridabad Sector 15,null
Go Mini,Ashram,Yamuna Bank,23.39
Go Sedan,Gurgaon Sector 29,Mansarovar Park,30.82
Auto,Shahdara,Paharganj,21.31
Premier Sedan,Sultanpur,Delhi Gate,20.41
eBike,Noida Film City,Vasant Kunj,null
Go Mini,Gurgaon Sector 29,Dilshad Garden,25.94
eBike,Jor Bagh,Golf Course Road,null
eBike,Huda City Centre,Aya Nagar,39.16
Go Sedan,Dilshad Garden,Subhash Nagar,23.79
Go Sedan,Saket,Old Gurgaon,null
Go Sedan,Basai Dhankot,Qutub Minar,41.93
Go Sedan,Basai Dhankot,Mandi House,null
Go Sedan,Jor Bagh,Sadar Bazar Gurgaon,null
Auto,Anand Vihar,IMT Manesar,6.71
Bike,Ashram,Bhiwadi,null
Go Sedan,Munirka,Sushant Lok,15.63
Go Sedan,Vishwavidyalaya,Bhikaji Cama Place,null
Go Sedan,Tis Hazari,Arjangarh,29.8
Uber XL,Malviya Nagar,Sohna Road,5.59
Go Mini,Nawada,Hero Honda Chowk,null
Premier Sedan,Qutub Minar,Ghitorni,6.57
Bike,Munirka,Tis Hazari,4.44
Go Sedan,Akshardham,IGNOU Road,26.93
Bike,Udyog Vihar Phase 4,Greater Kailash,28.78
Go Mini,Raj Nagar Extension,IMT Manesar,12.98
Auto,Ghitorni,Noida Film City,19.06
eBike,Akshardham,Keshav Puram,14
Go Sedan,Nawada,New Delhi Railway Station,43.06
Auto,Lajpat Nagar,Shivaji Park,38.96
Uber XL,Aya Nagar,Meerut,18.87
Bike,Lok Kalyan Marg,Maidan Garhi,47.88
Auto,Nawada,Pulbangash,null
Auto,Punjabi Bagh,Badshahpur,null
Go Sedan,Ramesh Nagar,Keshav Puram,5.7
Go Sedan,Maidan Garhi,Sarai Kale Khan,4.62
Premier Sedan,Greater Kailash,Green Park,42.26
Go Sedan,Sarojini Nagar,Saidulajab,19.49
Go Sedan,Satguru Ram Singh Marg,Kashmere Gate,null
Go Mini,Palam Vihar,Shahdara,40.36
Bike,GTB Nagar,Palam Vihar,42.59
Auto,Vatika Chowk,Pulbangash,null
Auto,Cyber Hub,Mundka,21.68
Go Mini,Adarsh Nagar,Rohini West,29.9
Go Mini,Golf Course Road,Bhikaji Cama Place,42.27
Go Mini,IIT Delhi,Basai Dhankot,49.71
eBike,Punjabi Bagh,Gurgaon Sector 56,32.56
Go Sedan,Civil Lines Gurgaon,Moti Nagar,null
Go Sedan,Udyog Vihar Phase 4,Anand Vihar ISBT,14.49
Go Mini,Ghaziabad,Udyog Vihar,31.49
Auto,Narsinghpur,Maidan Garhi,21.28
Auto,MG Road,GTB Nagar,34.14
Auto,Panchsheel Park,Gwal Pahari,20.66
Go Sedan,Badarpur,Tis Hazari,24.6
Auto,Gurgaon Sector 29,South Extension,27.94
Go Mini,Dwarka Sector 21,Moolchand,44.57
Auto,Greater Kailash,Raj Nagar Extension,15.43
Go Mini,Pataudi Chowk,Meerut,null
Premier Sedan,Bahadurgarh,Uttam Nagar,null
Bike,Gwal Pahari,Golf Course Road,42.88
Bike,Punjabi Bagh,Ghitorni Village,null
Auto,Tagore Garden,Narsinghpur,23.31
Premier Sedan,Samaypur Badli,IGNOU Road,31.36
Go Mini,AIIMS,Chandni Chowk,16.68
Go Mini,Hero Honda Chowk,AIIMS,49.06
Auto,Delhi Gate,Gurgaon Sector 29,28.34
Bike,Rohini West,Peeragarhi,null
Go Sedan,Badarpur,Ambience Mall,38.65
Go Sedan,Mandi House,Rohini,3.05
Go Mini,Chanakyapuri,Munirka,null
Go Mini,Mandi House,India Gate,41.81
Auto,Delhi Gate,Chandni Chowk,null
Go Sedan,Barakhamba Road,Ghaziabad,31.28
Go Sedan,Jor Bagh,Azadpur,34.5
Go Sedan,Khan Market,Green Park,13.1
Auto,Satguru Ram Singh Marg,Sikanderpur,null
Go Mini,Meerut,Vasant Kunj,null
Go Sedan,Udyog Vihar Phase 4,Kalkaji,9.93
Go Sedan,RK Puram,Panipat,null
Auto,GTB Nagar,Jasola,null
Auto,Akshardham,Bahadurgarh,31.93
Go Mini,Shivaji Park,Hauz Khas,34.73
Auto,Jasola,Delhi Gate,31.51
Uber XL,IMT Manesar,Lok Kalyan Marg,14.46
eBike,Gurgaon Sector 56,Pragati Maidan,null
Bike,Udyog Bhawan,Mundka,10.27
Premier Sedan,Rajiv Chowk,Okhla,46.07
Go Sedan,Badarpur,Vaishali,null
Bike,Panipat,New Colony,45.51
Go Mini,Noida Film City,Kirti Nagar,null
Auto,Vidhan Sabha,Kaushambi,34.9
Go Mini,AIIMS,Ashok Park Main,30.87
Go Sedan,Panchsheel Park,Sarai Kale Khan,37.07
Go Mini,Udyog Bhawan,Civil Lines Gurgaon,null
Auto,Keshav Puram,Mayur Vihar,35.38
Bike,Pragati Maidan,Raj Nagar Extension,19.61
Bike,Punjabi Bagh,Green Park,23.82
Go Mini,Keshav Puram,Tughlakabad,39.98
Bike,Raj Nagar Extension,Moolchand,27.16
Premier Sedan,Jhilmil,Malviya Nagar,48.45
Auto,Saket A Block,Old Gurgaon,null
Go Sedan,Central Secretariat,Janakpuri,null
Auto,Noida Sector 18,Malviya Nagar,25.05
Auto,Khan Market,New Delhi Railway Station,40.21
Premier Sedan,ITO,Noida Film City,44.48
Bike,India Gate,Shastri Nagar,6.82
Go Mini,Indraprastha,IGI Airport,16.21
Go Mini,Jasola,Rohini,null
Go Sedan,Botanical Garden,Mansarovar Park,12.9
Go Mini,Narsinghpur,Inderlok,null
eBike,Janakpuri,Golf Course Road,12.22
eBike,Ashok Park Main,Lok Kalyan Marg,null
Go Mini,Samaypur Badli,Ghitorni,3.95
Go Sedan,Laxmi Nagar,Pragati Maidan,42.87
Bike,Lok Kalyan Marg,IGNOU Road,39.84
Auto,Munirka,Pulbangash,4.19
Go Sedan,Noida Sector 18,Tilak Nagar,6.18
Go Mini,Gwal Pahari,Rohini East,null
Auto,Connaught Place,Uttam Nagar,null
Auto,Pitampura,Paschim Vihar,4.56
Auto,Udyog Bhawan,Janakpuri,47.56
Premier Sedan,Jahangirpuri,Indirapuram,14.65
Go Sedan,Tughlakabad,Vidhan Sabha,null
Go Mini,Anand Vihar,Gurgaon Sector 56,32.15
Go Sedan,Vatika Chowk,Paharganj,23.5
eBike,Central Secretariat,Sikanderpur,16.61
Go Sedan,Govindpuri,Kalkaji,18.14
Bike,Welcome,DLF Phase 3,31.1
Premier Sedan,Preet Vihar,Mehrauli,3.74
Auto,Noida Extension,Old Gurgaon,13.99
Go Mini,Kanhaiya Nagar,Satguru Ram Singh Marg,5.04
eBike,Seelampur,Udyog Bhawan,null
Auto,Anand Vihar,Chirag Delhi,36.18
Auto,Mehrauli,Karol Bagh,13.21
Go Sedan,Indirapuram,Noida Sector 62,6.06
Auto,IGI Airport,Civil Lines Gurgaon,null
Bike,Saket,Noida Extension,14.61
Go Mini,Basai Dhankot,Shivaji Park,48.08
Go Mini,Huda City Centre,Hauz Rani,null
Premier Sedan,Vatika Chowk,Saidulajab,39.51
Go Sedan,Gurgaon Sector 29,Kherki Daula Toll,null
Auto,Kalkaji,INA Market,null
Go Mini,GTB Nagar,Kalkaji,7.83
Go Sedan,Rajiv Nagar,Meerut,12.34
Premier Sedan,Panchsheel Park,Yamuna Bank,36.7
Auto,Sonipat,GTB Nagar,null
Auto,Sadar Bazar Gurgaon,Chanakyapuri,31.5
Go Sedan,Netaji Subhash Place,Kashmere Gate ISBT,null
Premier Sedan,Lajpat Nagar,Rohini,4.26
Auto,Indraprastha,Panipat,46.74
Go Sedan,Panchsheel Park,Yamuna Bank,48.35
Bike,Noida Sector 62,DLF City Court,49.87
Go Mini,Badarpur,Botanical Garden,22.67
Auto,South Extension,Hauz Rani,null
Bike,Sikanderpur,INA Market,null
Go Mini,Preet Vihar,Cyber Hub,45.17
Go Mini,Kadarpur,Maidan Garhi,23.07
Premier Sedan,Malviya Nagar,Nehru Place,4.08
Auto,Pitampura,Yamuna Bank,41.97
Auto,Kalkaji,Sultanpur,38.82
Auto,Anand Vihar ISBT,Hauz Khas,30.4
Auto,Gurgaon Sector 29,Rajouri Garden,19.78
Bike,Noida Film City,Jama Masjid,null
Go Mini,Hero Honda Chowk,Satguru Ram Singh Marg,47.2
Go Mini,Khan Market,AIIMS,17.43
Auto,Jahangirpuri,Rajiv Nagar,14.43
Auto,Chhatarpur,Vatika Chowk,22.92
Bike,Dilshad Garden,Laxmi Nagar,32.15
Go Mini,Arjangarh,GTB Nagar,43.08
Go Mini,Chirag Delhi,IGNOU Road,48.91
Go Sedan,Kashmere Gate ISBT,Jama Masjid,null
Go Mini,Civil Lines Gurgaon,Sarai Kale Khan,32.46
Auto,IGNOU Road,Tughlakabad,11.44
Bike,Sultanpur,Netaji Subhash Place,42.18
Auto,Laxmi Nagar,Lok Kalyan Marg,null
Go Sedan,Dilshad Garden,Maidan Garhi,null
Go Mini,South Extension,Sultanpur,40.16
Uber XL,Tis Hazari,Noida Film City,4.01
Go Mini,Nawada,Ardee City,null
eBike,Basai Dhankot,Chirag Delhi,15.59
Go Mini,GTB Nagar,Ghitorni,47.72
Bike,Vatika Chowk,Inderlok,null
Auto,Meerut,Gurgaon Railway Station,34.36
Bike,Mundka,Moolchand,11.93
Premier Sedan,Netaji Subhash Place,Mayur Vihar,42.82
Go Mini,MG Road,Old Gurgaon,12.63
Auto,Netaji Subhash Place,Vatika Chowk,43.14
Auto,Manesar,Malviya Nagar,null
Auto,Gurgaon Sector 56,Greater Noida,null
Go Mini,Green Park,Udyog Vihar Phase 4,40.59
Go Mini,Gwal Pahari,Pitampura,20.32
Premier Sedan,Cyber Hub,Narsinghpur,48.8
Auto,Noida Sector 62,Jhilmil,null
Go Mini,Pataudi Chowk,Golf Course Road,42.16
Go Sedan,Satguru Ram Singh Marg,Kaushambi,null
Go Mini,Badarpur,Ashok Vihar,null
Auto,Badshahpur,Vatika Chowk,47.98
Go Sedan,Pragati Maidan,Tilak Nagar,46.78
Auto,Jor Bagh,Shivaji Park,27.68
Premier Sedan,Sikanderpur,Karkarduma,27.62
Go Mini,Maidan Garhi,Ghitorni Village,17.92
Auto,New Colony,RK Puram,30.53
Auto,Sarojini Nagar,Noida Extension,null
Bike,Gurgaon Sector 56,Samaypur Badli,14.78
Premier Sedan,Raj Nagar Extension,Paharganj,null
Bike,Manesar,Civil Lines Gurgaon,45.97
Auto,Azadpur,Connaught Place,null
eBike,Cyber Hub,IGI Airport,null
Premier Sedan,Kashmere Gate,Gwal Pahari,24.06
Go Sedan,Jahangirpuri,Sultanpur,9.44
Premier Sedan,Mansarovar Park,IGNOU Road,24.98
Uber XL,Khan Market,Tilak Nagar,10.78
Bike,Panipat,Jasola,40.59
Bike,Saket,Rohini,5.75
Auto,Sultanpur,Bahadurgarh,42.66
Premier Sedan,Ghitorni,Chhatarpur,null
Premier Sedan,Shastri Park,Rohini West,36.13
Go Sedan,Rithala,Noida Film City,44.08
Go Sedan,Akshardham,Delhi Gate,null
Go Sedan,IFFCO Chowk,Sultanpur,null
Auto,Huda City Centre,Karkarduma,35.76
Bike,Kashmere Gate ISBT,Rajiv Chowk,45
Bike,Laxmi Nagar,ITO,null
Go Mini,South Extension,Vidhan Sabha,45.07
Go Sedan,Badshahpur,Green Park,null
Bike,Ashok Vihar,Rohini,3.86
Go Mini,Jahangirpuri,Cyber Hub,null
Premier Sedan,Pitampura,Delhi Gate,49.18
Go Mini,Nawada,Shastri Park,7.41
Auto,DLF City Court,Pitampura,14.49
Uber XL,Nehru Place,Rajiv Chowk,15.3
Premier Sedan,Pragati Maidan,Subhash Chowk,null
eBike,Munirka,Saidulajab,null
Auto,Vishwavidyalaya,Manesar,null
Bike,Sohna Road,IGNOU Road,15.53
Go Sedan,Saket A Block,Gurgaon Railway Station,6.84
Auto,Adarsh Nagar,Huda City Centre,null
Premier Sedan,Yamuna Bank,Dilshad Garden,27.22
Auto,AIIMS,Jasola,31.65
Auto,Green Park,Aya Nagar,38.25
Auto,Greater Kailash,Kashmere Gate ISBT,null
Bike,Madipur,Chhatarpur,12.14
Auto,Panchsheel Park,Janakpuri,9.76
Premier Sedan,Mandi House,Sadar Bazar Gurgaon,10.63
Auto,Kanhaiya Nagar,Narsinghpur,15.32
Go Sedan,Mayur Vihar,Sohna Road,null
Auto,Ghitorni Village,Rajiv Nagar,8.76
Auto,Adarsh Nagar,Connaught Place,22.4
Bike,Aya Nagar,Noida Sector 62,null
Premier Sedan,Pataudi Chowk,Greater Kailash,12.73
Go Mini,Badshahpur,Preet Vihar,28.77
Premier Sedan,Mehrauli,Rithala,8.86
Auto,Indraprastha,Gurgaon Sector 29,null
Auto,Chirag Delhi,Saket,null
Go Sedan,Botanical Garden,Delhi Gate,null
Go Sedan,Indirapuram,Botanical Garden,30.28
Premier Sedan,Noida Film City,Tilak Nagar,40.38
Bike,Jahangirpuri,Uttam Nagar,45.56
Bike,Udyog Vihar Phase 4,Vinobapuri,47.18
Bike,Kherki Daula Toll,Mandi House,46.93
Go Sedan,Mansarovar Park,Lajpat Nagar,null
Auto,Munirka,GTB Nagar,43.81
Auto,Pragati Maidan,Ashok Vihar,38.53
Go Mini,Nirman Vihar,Inderlok,null
Auto,Punjabi Bagh,Moti Nagar,null
Bike,Chandni Chowk,Rohini West,33.61
Go Mini,Gurgaon Railway Station,Moti Nagar,24.62
Premier Sedan,Sikanderpur,Pulbangash,33.8
Go Sedan,Huda City Centre,Paharganj,null
Auto,Sadar Bazar Gurgaon,Gurgaon Sector 56,32.09
eBike,Sikanderpur,Nehru Place,null
Premier Sedan,Inderlok,Shastri Nagar,13.99
eBike,Rithala,Chanakyapuri,null
Auto,Delhi Gate,Subhash Chowk,14.13
Auto,Nirman Vihar,Greater Noida,null
Go Mini,Panipat,Palam Vihar,34.86
Bike,Palam Vihar,Noida Film City,43.94
Premier Sedan,Tagore Garden,Basai Dhankot,24.56
Auto,Rajouri Garden,RK Puram,32.14
Go Sedan,Kashmere Gate,Subhash Chowk,null
Premier Sedan,Mansarovar Park,Central Secretariat,null
Go Mini,Pitampura,Sadar Bazar Gurgaon,43.31
Go Sedan,Karol Bagh,Saket,30.94
Premier Sedan,Jasola,Rajouri Garden,null
Auto,Noida Sector 62,Uttam Nagar,7.87
Go Mini,Shastri Nagar,Udyog Vihar Phase 4,15.24
Go Mini,Rohini,Lajpat Nagar,27.38
Premier Sedan,Malviya Nagar,Sadar Bazar Gurgaon,4.5
Uber XL,Welcome,Nawada,9.87
Auto,Malviya Nagar,Govindpuri,16.5
Premier Sedan,Noida Extension,Kalkaji,41.88
Go Sedan,Jahangirpuri,Ashram,32.9
Bike,GTB Nagar,Gwal Pahari,36.68
Bike,Bhiwadi,Vatika Chowk,20.38
Auto,Vaishali,Mehrauli,47.2
Go Sedan,Mehrauli,IIT Delhi,10.02
Auto,Raj Nagar Extension,Mayur Vihar,2.99
Go Mini,Badarpur,Bahadurgarh,null
Go Sedan,Pataudi Chowk,Preet Vihar,31.32
Go Mini,IMT Manesar,Jahangirpuri,36.64
Go Sedan,Ghitorni,Manesar,47.01
Go Mini,Jama Masjid,Saket A Block,null
Go Sedan,India Gate,Gwal Pahari,null
Premier Sedan,Gurgaon Sector 56,Indirapuram,15.11
Auto,Jhilmil,Kirti Nagar,38.26
Auto,Shivaji Park,Meerut,47.12
Go Sedan,DLF Phase 3,Janakpuri,9.59
Go Sedan,Yamuna Bank,Jahangirpuri,2.17
Go Sedan,Tis Hazari,Chhatarpur,42.9
Auto,Huda City Centre,Sikanderpur,35.09
Auto,Ghaziabad,IGI Airport,null
Premier Sedan,Nirman Vihar,Sushant Lok,45.58
Auto,Govindpuri,Saidulajab,null
Premier Sedan,Chhatarpur,RK Puram,null
Auto,Manesar,Rithala,34.44
Go Sedan,Udyog Vihar Phase 4,Chanakyapuri,null
Bike,Sushant Lok,Nirman Vihar,null
Bike,Green Park,Okhla,7.21
Auto,Satguru Ram Singh Marg,Bhiwadi,14.3
Bike,Keshav Puram,Noida Film City,13.3
Go Sedan,Anand Vihar,Moti Nagar,null
Auto,Sushant Lok,MG Road,null
Auto,Arjangarh,Punjabi Bagh,22.68
Auto,Nawada,Ghitorni,null
Go Mini,Aya Nagar,IGI Airport,null
Bike,Malviya Nagar,Dwarka Mor,null
Go Sedan,Kashmere Gate,Jama Masjid,20.88
Auto,Tilak Nagar,Hero Honda Chowk,null
Uber XL,India Gate,IGI Airport,28.23
Premier Sedan,Tilak Nagar,Qutub Minar,14.57
Go Mini,IFFCO Chowk,Chirag Delhi,6.69
Premier Sedan,Chhatarpur,Paharganj,10.62
Go Mini,Lajpat Nagar,Patel Chowk,null
Uber XL,Ghaziabad,Mandi House,19.99
Go Sedan,Mundka,Maidan Garhi,null
Premier Sedan,Badarpur,Qutub Minar,12.04
eBike,Moolchand,Saket A Block,43.29
Go Sedan,Gurgaon Railway Station,Paschim Vihar,3
Go Sedan,Ashok Park Main,Uttam Nagar,28.36
Auto,Anand Vihar ISBT,Huda City Centre,13.04
Auto,Vishwavidyalaya,Vinobapuri,null
Uber XL,Subhash Chowk,Noida Extension,5.52
Go Sedan,Azadpur,Moti Nagar,11.93
Go Mini,Greater Noida,Sohna Road,null
Go Mini,Rajiv Nagar,Jahangirpuri,null
Auto,Chanakyapuri,Ghaziabad,null
eBike,Greater Kailash,Shivaji Park,null
Premier Sedan,Nirman Vihar,Patel Chowk,8.8
Auto,Rohini East,Basai Dhankot,19.2
Auto,Jor Bagh,Nirman Vihar,28.84
Go Sedan,Khan Market,Bhiwadi,33.08
Go Mini,Karkarduma,Ambience Mall,10.88
Premier Sedan,Lok Kalyan Marg,Preet Vihar,43.4
Auto,Ghaziabad,Moti Nagar,15.83
Go Sedan,Shastri Park,Narsinghpur,9.61
Go Sedan,Peeragarhi,Pulbangash,2.69
Auto,Botanical Garden,Panipat,null
Auto,Vasant Kunj,Vatika Chowk,12.52
Auto,DLF Phase 3,Okhla,27.76
eBike,Saket A Block,Sultanpur,null
Go Sedan,Subhash Chowk,Badshahpur,null
Auto,Jahangirpuri,Rohini,7.7
Auto,Pulbangash,Akshardham,23.21
Bike,Palam Vihar,Gwal Pahari,null
Go Sedan,Greater Kailash,Lok Kalyan Marg,null
Premier Sedan,Saket,Ashok Vihar,null
Auto,Shastri Nagar,Jasola,null
Premier Sedan,Khandsa,Cyber Hub,29.21
eBike,Chanakyapuri,DLF City Court,null
Premier Sedan,Manesar,Mansarovar Park,30.45
Auto,Sarai Kale Khan,Raj Nagar Extension,null
Bike,Moolchand,Chanakyapuri,null
Premier Sedan,IMT Manesar,Jor Bagh,null
Go Sedan,Ashram,New Colony,null
Go Sedan,Madipur,Tagore Garden,2.09
Premier Sedan,Pragati Maidan,Chirag Delhi,null
Auto,Adarsh Nagar,Botanical Garden,null
Go Mini,Azadpur,Karkarduma,43.22
Premier Sedan,Shastri Nagar,Noida Film City,null
Auto,Shivaji Park,Tagore Garden,48.69
Bike,Mandi House,Rohini West,25.96
Premier Sedan,Indraprastha,Jor Bagh,18.89
Go Mini,Moti Nagar,Bhikaji Cama Place,19.14
Bike,Chanakyapuri,Mandi House,15.33
Bike,Kaushambi,Ghitorni Village,27.13
Auto,Tagore Garden,Kalkaji,16.32
Go Mini,Faridabad Sector 15,Janakpuri,18.13
Go Mini,Pulbangash,Vasant Kunj,27.52
